Sl_no,Label_ROI,A_ID,parent_folder,Location_Num,latitude,longitude,Samplng_location,Date,year,Sex,Dorsal_pat,SVL_mm,Mass_g,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,VR,VG,VB,UVB,UVR
30,DB50022_d1,DB50022,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,56.28,2.14,10.96539751,4.760035979,10704,0.802012007,2.82842712,0.149388016,5.368650236,0.383475017,0.253652341,10.96539751,9.860232382,8.516529909,5.113402,4.731773349
31,DB50023_d1,DB50023,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,c,46.07,1.66,12.50651624,4.405864629,7791,0.65603218,2.82842712,0.150856795,4.348708182,0.310622013,0.223317703,12.50651624,11.29792194,9.9790627,5.836388599,5.373213211
32,DB50024_d1,DB50024,sec_1,1,41.83698176,-8.873873094,Moledo,14042022,2022,F,a,45.31,1.38,12.51512743,5.699612898,7807,0.932932656,2.82842712,0.15588582,5.984717911,0.427479851,0.336571864,12.51512743,11.81634475,10.62408521,6.282136763,5.853790377
33,DB50025_d1,DB50025,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,d,61.55,4.51,11.61983218,3.321612278,14934,0.550270014,2.82842712,0.11550492,4.764039615,0.340288544,0.166145233,11.61983218,10.05818153,8.754404053,7.498218026,7.123502593
34,DB50026_d1,DB50026,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,47.85,2.02,11.28327081,2.933690745,9166,0.426571772,2.82842712,0.120741121,3.532945251,0.252353232,0.128086543,11.28327081,10.35087088,9.034484765,7.298761995,6.976417191
35,DB50027_d1,DB50027,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,61.27,4.14,13.50987594,3.809089697,15723,0.591680234,2.82842712,0.133414895,4.434888863,0.316777776,0.182575317,13.50987594,11.88592389,10.12193941,7.846607493,7.379150237
36,DB50028_d1,DB50028,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,60.34,4.41,14.24961906,4.75152062,14139,0.825863314,3.999999987,0.16356614,5.049109262,0.360650662,0.276983827,14.24961906,12.87043292,10.93656159,7.891922283,7.291836177
37,DB50029_d1,DB50029,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,46.42,2.27,14.82042048,3.191222343,7867,0.516951911,2.82842712,0.128253593,4.030701211,0.287907229,0.144398864,14.82042048,13.19444788,11.15556695,7.996990881,7.535322022
38,DB50030_d1,DB50030,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,53.52,2.4,14.47720191,3.435827365,10936,0.611279831,2.82842712,0.148082686,4.12796288,0.294854491,0.198671086,14.47720191,13.0847875,10.92300478,8.709692197,8.181783227
39,DB50031_d1,DB50031,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,a,60.79,3.76,14.51747592,4.357593818,14050,0.769770611,3.999999987,0.135178085,5.694492637,0.406749474,0.241849959,14.51747592,12.27637365,10.83017544,7.822389402,7.312726742
40,DB50032_d1,DB50032,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,46.51,2.01,13.23263804,3.650058366,8009,0.553378975,2.82842712,0.141912126,3.89944813,0.278532009,0.180295486,13.23263804,11.89073874,10.45266936,8.097123951,7.666575334
41,DB50033_d1,DB50033,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,59.78,3.94,10.95195692,2.311388253,14005,0.348982704,3.999999987,0.129417137,2.696572578,0.192612327,0.119338333,10.95195692,30.12279086,11.93492691,8.041362683,7.518402845
42,DB50034_d1,DB50034,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,d,58.67,4.16,12.95634266,2.808197335,14453,0.407093496,3.999999987,0.125318414,3.248473093,0.232033792,0.140386463,12.95634266,11.55360029,9.707741077,7.68518539,7.126570573
43,DB50035_d1,DB50035,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,54.78,3.05,13.70853878,3.947634525,11850,0.637544557,3.999999987,0.154202898,4.134452506,0.295318036,0.217467666,13.70853878,12.869248,10.6887616,7.564048199,7.042153897
44,DB50036_d1,DB50036,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,d,61.98,4.51,13.19149603,3.735325215,15086,0.767058624,3.999999987,0.139024617,5.517430238,0.39410216,0.263894875,13.19149603,10.79929846,9.09809075,7.517870544,7.006644448
45,DB50037_d1,DB50037,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,50.89,2.93,11.78595752,3.699034666,11081,0.688142036,2.82842712,0.142216622,4.838689212,0.345620658,0.228154612,11.78595752,10.34531751,9.097354489,7.403837777,6.921215518
